PUID,Action,Timestamp,Status,ServiceName,Metadata,RetryCount,ErrorDetails,_metadata_spanner_mod_type,_metadata_spanner_table_name,_metadata_spanner_commit_timestamp,_metadata_spanner_server_transaction_id,_metadata_spanner_record_sequence,_metadata_spanner_is_last_record_in_transaction_in_partition,_metadata_spanner_number_of_records_in_transaction,_metadata_spanner_number_of_partitions_in_transaction,_metadata_big_query_commit_timestamp,UserId,Source,TransactionId,Processed,DataSource
8d72d564-00a9-48f3-bdb8-8e5b7a54b962,CREATE_PAYMENT,2025-01-08 06:17:17.875891 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:17:18.229375 UTC,MTMxNTI1NTg3NTI1NTMzMjIyMzc=,00000000,true,1,1,2025-01-08 06:17:25.024873 UTC,,,,,InderBank
014c48fc-e096-4e17-8079-4eef2f88604a,CREATE_PAYMENT,2025-01-08 06:17:23.614702 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:17:24.712703 UTC,MTM2MTYzNzUzNjkyOTAzMTM1OTY=,00000000,true,1,1,2025-01-08 06:17:30.735621 UTC,,,,,InderBank
53245c68-f4b4-4cf6-913e-29a49dbeaaac,CREATE_PAYMENT,2025-01-08 06:08:33.898916 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:08:34.360175 UTC,MTA0OTc4MTcwNjM2NzYwODg4NjY=,00000000,true,1,1,2025-01-08 06:19:05.343859 UTC,,,,,InderBank
fd84c17d-198e-47a0-9d41-a7c98d94ce7f,CREATE_PAYMENT,2025-01-08 05:58:45.586598 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 05:58:46.013567 UTC,NTc5OTM2OTM3NjU5OTk4MDY0,00000000,true,1,1,2025-01-08 06:19:09.49042 UTC,,,,,InderBank
2499c801-97b2-47c3-aa8b-42e673fdcb68,CREATE_PAYMENT,2025-01-08 06:16:55.187681 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:16:55.539471 UTC,NTU0ODA3Njg1MTIyNzM5NTEzMA==,00000000,true,1,1,2025-01-08 06:19:12.178782 UTC,,,,,InderBank
50562ca9-11bf-47c4-93e2-7f742b427e98,CREATE_PAYMENT,2025-01-08 06:08:28.169973 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:08:28.522479 UTC,Mjg2MTEwMjQ0NzIwMzExMjc3OQ==,00000000,true,1,1,2025-01-08 06:19:12.209628 UTC,,,,,InderBank
f0e7f41e-6d21-4860-8023-dce1691c22ed,CREATE_PAYMENT,2025-01-08 06:11:53.518329 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:11:53.928575 UTC,NzgwOTc2MzExNTk0NjQ5NTYwNw==,00000000,true,1,1,2025-01-08 06:19:12.226891 UTC,,,,,InderBank
c4a4b9f4-0075-4dc8-a105-17581f088e19,CREATE_PAYMENT,2025-01-08 06:14:50.229745 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:14:50.578991 UTC,MTk4MTQ2MjIyMzczNzMxMDgxNQ==,00000000,true,1,1,2025-01-08 06:19:12.242817 UTC,,,,,InderBank
2cfe4a3b-e21e-442c-a893-5b80bd8802e9,CREATE_PAYMENT,2025-01-08 06:07:59.689643 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:08:00.038767 UTC,NzEyODc5NzA1ODY5ODE2NDQ0,00000000,true,1,1,2025-01-08 06:19:12.275997 UTC,,,,,InderBank
193aa6a8-1af0-4c49-8d20-4e2b3f721143,CREATE_PAYMENT,2025-01-08 06:14:27.146337 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:14:27.494335 UTC,MTQwNDMzMzU2MjQ4OTY5ODc3NzI=,00000000,true,1,1,2025-01-08 06:19:12.275738 UTC,,,,,InderBank
0b880784-9231-4239-acc2-f17eb22010be,CREATE_PAYMENT,2025-01-08 05:50:34.11054 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 05:50:34.486063 UTC,OTg1ODgyMzk5MTU2NDcyMzM0OA==,00000000,true,1,1,2025-01-08 06:19:12.325679 UTC,,,,,InderBank
2c87e9b6-2b8d-419b-a53a-e6105ad820e1,CREATE_PAYMENT,2025-01-08 06:11:42.23191 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:11:42.578879 UTC,NTIzMDgwNjIyOTI3NjM3ODMwMA==,00000000,true,1,1,2025-01-08 06:19:12.327332 UTC,,,,,InderBank
8e1f3fa0-279b-46ed-b371-e7755c3747af,CREATE_PAYMENT,2025-01-08 06:14:44.571798 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:14:44.922847 UTC,MTU0NTc5MDI1MjAzMjA4ODA5MjE=,00000000,true,1,1,2025-01-08 06:19:12.331752 UTC,,,,,InderBank
13c53446-23af-452c-8014-1389a6397ca9,CREATE_PAYMENT,2025-01-08 06:08:39.729008 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:08:40.093695 UTC,MTM5ODczNzE4MTY3MjM1Nzg3NzY=,00000000,true,1,1,2025-01-08 06:19:12.33192 UTC,,,,,InderBank
cbe08004-4986-4aa3-b9b6-ba306e1ca26e,CREATE_PAYMENT,2025-01-08 06:14:10.204999 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:14:10.555919 UTC,MTMxODM0NjA5OTI2OTMwMTMxNTU=,00000000,true,1,1,2025-01-08 06:19:12.340828 UTC,,,,,InderBank
e7c77c2c-f2aa-47da-ad34-b3d8f02d29c8,CREATE_PAYMENT,2025-01-08 06:11:13.804138 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:11:14.159807 UTC,MTcxNzA2NzkyOTQxMzQ0ODYxODc=,00000000,true,1,1,2025-01-08 06:19:12.341272 UTC,,,,,InderBank
ccddd2aa-c3c6-4baf-aee5-ea0948bfa3b8,CREATE_PAYMENT,2025-01-08 05:50:28.486788 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 05:50:28.861967 UTC,ODY5MzM0NTgzNjkwMjk0NjMyNQ==,00000000,true,1,1,2025-01-08 06:19:12.348579 UTC,,,,,InderBank
74f75fe8-9b96-4d63-b2f4-89f905a501a1,CREATE_PAYMENT,2025-01-08 06:02:30.225318 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:02:30.635199 UTC,MTAyNDMyNjU0NjAyMzg1MDI4OTc=,00000000,true,1,1,2025-01-08 06:19:12.360428 UTC,,,,,InderBank
145592ad-f340-46c6-b3b7-51e333a386c9,CREATE_PAYMENT,2025-01-08 06:16:38.251837 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:16:38.596495 UTC,MTY0NzkzMjM2NzM2MDcwNTg3NTE=,00000000,true,1,1,2025-01-08 06:19:12.360405 UTC,,,,,InderBank
ecdd23ed-b4d7-4588-aa1d-84fda3a34eec,CREATE_PAYMENT,2025-01-08 05:59:55.689232 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 05:59:56.119967 UTC,MTgxMjQxMDEwNDQ3OTQ3MzMxOTQ=,00000000,true,1,1,2025-01-08 06:19:13.25228 UTC,,,,,InderBank
7ad68bd4-194d-474b-8f77-3e1494cca972,CREATE_PAYMENT,2025-01-08 06:10:39.595543 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:10:39.951695 UTC,NjYwMjUyMjE2NTgyMzMyMjQ2OQ==,00000000,true,1,1,2025-01-08 06:19:13.255529 UTC,,,,,InderBank
739fcef2-ae59-4cc6-8331-0146b7b63e83,CREATE_PAYMENT,2025-01-08 05:55:29.130133 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 05:55:29.559727 UTC,MTA5NDczNjg3ODg1NDU0MDA5MDk=,00000000,true,1,1,2025-01-08 06:19:13.578484 UTC,,,,,InderBank
c55596fe-5886-4e30-a618-736bbffcd6fe,CREATE_PAYMENT,2025-01-08 06:11:36.500238 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:11:36.936511 UTC,MTczNzEwMTEzNTY4OTczMTUzNzI=,00000000,true,1,1,2025-01-08 06:19:13.692377 UTC,,,,,InderBank
3480b026-2cfa-43d2-8419-ae6037696c85,CREATE_PAYMENT,2025-01-08 06:06:28.578601 UTC,SUCCESS,Test-service,"{""amount"":100.5,""currency"":""USD""}",0,,INSERT,test_monitoring_table,2025-01-08 06:06:28.994255 UTC,ODI2NzE3NjQ5MTA4NzM5OTE2OA==,00000000,true,1,1,2025-01-08 06:19:13.692416 UTC,,,,,InderBank
